study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	read_count	experiment_title	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp
PRJNA335821	SAMN05467955	SRS1597834	SRX1995568	SRR3994503	1217831	Illumina HiSeq 2500 sequencing; vt_sup_h5 Superior Haploid 5 Leaf	vt_sup_h5_05	vt_sup_h5_05_R2.fastq.gz	136791005;133064903	720344799afce1048200f4f12745025c;7a5093adef1f3fb335c7eb4848e815c9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/003/SRR3994503/SRR3994503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/003/SRR3994503/SRR3994503_2.fastq.gz
PRJNA335821	SAMN05467980	SRS1597837	SRX1995569	SRR3994504	3203973	Illumina HiSeq 2500 sequencing; vt_sup_h73 Superior Haploid 73 Leaf	vt_sup_h73_11	vt_sup_h73_11_R1.fastq.gz	330127380;334331611	2f8d033e0679a3063dee2b4d513bb112;963a9cc986d33948f80a309465924407	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3994504/SRR3994504_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3994504/SRR3994504_2.fastq.gz
PRJNA335821	SAMN05467980	SRS1597837	SRX1995570	SRR3994505	3224994	Illumina HiSeq 2500 sequencing; vt_sup_h73 Superior Haploid 73 Leaf	vt_sup_h73_12	vt_sup_h73_12_R2.fastq.gz	335852151;330343133	51dbbdc3d41c8d31e7a3f7926ad120d2;181491e40f50c376e3dc5b62259b8880	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3994505/SRR3994505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3994505/SRR3994505_2.fastq.gz
PRJNA335821	SAMN05467981	SRS1597838	SRX1995571	SRR3994506	51073661	Illumina HiSeq 2500 sequencing; vt_sup_h74 Superior Haploid 74 Leaf	vt_sup_h74_01	vt_sup_h74_01_R2.fastq.gz	4944287392;5009421319	979e98a87cc231c411db098f35c46639;9d302e09ffe3744ff1d73999da250a63	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3994506/SRR3994506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3994506/SRR3994506_2.fastq.gz
PRJNA335821	SAMN05467982	SRS1597839	SRX1995572	SRR3994507	1132280	Illumina HiSeq 2500 sequencing; vt_sup_h75 Superior Haploid 75 Leaf	vt_sup_h75_01	vt_sup_h75_01_R2.fastq.gz	120065983;129297676	27654daf63bd525c4504fb0003a782ef;d9002140b83cd188f4fdf95e23f3328b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3994507/SRR3994507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3994507/SRR3994507_2.fastq.gz
PRJNA335821	SAMN05467982	SRS1597839	SRX1995573	SRR3994508	1455977	Illumina HiSeq 2500 sequencing; vt_sup_h75 Superior Haploid 75 Leaf	vt_sup_h75_02	vt_sup_h75_02_R2.fastq.gz	161834092;156642842	d3434167cd975913d9cb6037e09bbebc;c47c30b24ac23847e31d4aef1d5f4524	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3994508/SRR3994508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3994508/SRR3994508_2.fastq.gz
PRJNA335821	SAMN05467982	SRS1597839	SRX1995574	SRR3994509	1477177	Illumina HiSeq 2500 sequencing; vt_sup_h75 Superior Haploid 75 Leaf	vt_sup_h75_03	vt_sup_h75_03_R1.fastq.gz	160149148;163172156	ee67f61cd46f070ada3486a73f9d5f32;afa778a23f18fef0bcc1e38c2a4a031e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3994509/SRR3994509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3994509/SRR3994509_2.fastq.gz
PRJNA335821	SAMN05467982	SRS1597839	SRX1995575	SRR3994510	1485701	Illumina HiSeq 2500 sequencing; vt_sup_h75 Superior Haploid 75 Leaf	vt_sup_h75_04	vt_sup_h75_04_R1.fastq.gz	160680791;164364131	3d7b6d11d0bb69d90e3823b398c6974c;67c9a7a4e67909372e764c9f90002bd0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3994510/SRR3994510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3994510/SRR3994510_2.fastq.gz
PRJNA335821	SAMN05467982	SRS1597839	SRX1995576	SRR3994511	1479652	Illumina HiSeq 2500 sequencing; vt_sup_h75 Superior Haploid 75 Leaf	vt_sup_h75_05	vt_sup_h75_05_R1.fastq.gz	160302762;164052284	dfb42d598ddd366d19abda938d7d2035;04714f4c37092d4c87844c37d0ce84f0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3994511/SRR3994511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3994511/SRR3994511_2.fastq.gz
PRJNA335821	SAMN05467982	SRS1597839	SRX1995577	SRR3994512	1446811	Illumina HiSeq 2500 sequencing; vt_sup_h75 Superior Haploid 75 Leaf	vt_sup_h75_06	vt_sup_h75_06_R1.fastq.gz	156474242;160310030	ab007318f8c47a4fb09712a82e70142f;d346297d96ebfae09a3cc4bd9431fd3f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3994512/SRR3994512_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3994512/SRR3994512_2.fastq.gz
PRJNA335821	SAMN05467982	SRS1597839	SRX1995578	SRR3994513	3255733	Illumina HiSeq 2500 sequencing; vt_sup_h75 Superior Haploid 75 Leaf	vt_sup_h75_07	vt_sup_h75_07_R2.fastq.gz	337154574;333488199	81de4768e7f8f7af31c583e6069c6b13;12f26185827fab9fc83076f8bfa994fe	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/003/SRR3994513/SRR3994513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/003/SRR3994513/SRR3994513_2.fastq.gz
PRJNA335821	SAMN05467955	SRS1597834	SRX1995579	SRR3994514	1194097	Illumina HiSeq 2500 sequencing; vt_sup_h5 Superior Haploid 5 Leaf	vt_sup_h5_06	vt_sup_h5_06_R1.fastq.gz	130297966;134125403	5b12082a489fcc5d0d9b01519376f7f7;b3a9161492ea342fd2575c20e9358eaa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3994514/SRR3994514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3994514/SRR3994514_2.fastq.gz
PRJNA335821	SAMN05467982	SRS1597839	SRX1995580	SRR3994515	3245898	Illumina HiSeq 2500 sequencing; vt_sup_h75 Superior Haploid 75 Leaf	vt_sup_h75_08	vt_sup_h75_08_R1.fastq.gz	330791132;335462168	68ede09d5bd161ae525fb868ba7baf53;d6371931eaaaac6c1bbb1b2c9bce9812	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3994515/SRR3994515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3994515/SRR3994515_2.fastq.gz
PRJNA335821	SAMN05467982	SRS1597839	SRX1995581	SRR3994516	3256130	Illumina HiSeq 2500 sequencing; vt_sup_h75 Superior Haploid 75 Leaf	vt_sup_h75_09	vt_sup_h75_09_R2.fastq.gz	338422141;333766692	8a1847ae9f6e6da1cb18db88a0250943;2e37c9404d3362423ccb404a5d6d3a61	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3994516/SRR3994516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3994516/SRR3994516_2.fastq.gz
PRJNA335821	SAMN05467982	SRS1597839	SRX1995582	SRR3994517	3223791	Illumina HiSeq 2500 sequencing; vt_sup_h75 Superior Haploid 75 Leaf	vt_sup_h75_10	vt_sup_h75_10_R2.fastq.gz	333857947;328908794	ad6c0ea04e45114977f769e85c0deb12;94d7fc5a4b8a99858d7871798e06c3ab	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3994517/SRR3994517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3994517/SRR3994517_2.fastq.gz
PRJNA335821	SAMN05467982	SRS1597839	SRX1995583	SRR3994518	3201120	Illumina HiSeq 2500 sequencing; vt_sup_h75 Superior Haploid 75 Leaf	vt_sup_h75_11	vt_sup_h75_11_R2.fastq.gz	331295067;326507207	b3d54a4a5452608e09eee95b8b2f44ab;9e44c7000eacf6d617bebba754e34133	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3994518/SRR3994518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3994518/SRR3994518_2.fastq.gz
PRJNA335821	SAMN05467982	SRS1597839	SRX1995584	SRR3994519	3218308	Illumina HiSeq 2500 sequencing; vt_sup_h75 Superior Haploid 75 Leaf	vt_sup_h75_12	vt_sup_h75_12_R1.fastq.gz	326437020;332562230	a19398045e17b31a500526eb8ae54e87;1714c5e91c8e288e2efc3bb307dfa3b2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3994519/SRR3994519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3994519/SRR3994519_2.fastq.gz
PRJNA335821	SAMN05467983	SRS1597840	SRX1995585	SRR3994520	1056203	Illumina HiSeq 2500 sequencing; vt_sup_h76 Superior Haploid 76 Leaf	vt_sup_h76_01	vt_sup_h76_01_R2.fastq.gz	111748967;120966960	a0581e828605800d3d5327fdb8c69aa8;4e83b02f22d0cf7eca72af017e592f9a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3994520/SRR3994520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3994520/SRR3994520_2.fastq.gz
PRJNA335821	SAMN05467983	SRS1597840	SRX1995586	SRR3994521	1367680	Illumina HiSeq 2500 sequencing; vt_sup_h76 Superior Haploid 76 Leaf	vt_sup_h76_02	vt_sup_h76_02_R2.fastq.gz	151414058;147366851	836d906b9c66d1599b857942b744dc80;760956527d47f3e1509f7285236337f7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3994521/SRR3994521_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3994521/SRR3994521_2.fastq.gz
PRJNA335821	SAMN05467983	SRS1597840	SRX1995587	SRR3994522	1392981	Illumina HiSeq 2500 sequencing; vt_sup_h76 Superior Haploid 76 Leaf	vt_sup_h76_03	vt_sup_h76_03_R1.fastq.gz	151395527;153531303	e575ced5919a6a8e26edf29e49a8a205;42707147a01ace146cd199161e2c1ce8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3994522/SRR3994522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3994522/SRR3994522_2.fastq.gz
PRJNA335821	SAMN05467983	SRS1597840	SRX1995588	SRR3994523	1405641	Illumina HiSeq 2500 sequencing; vt_sup_h76 Superior Haploid 76 Leaf	vt_sup_h76_04	vt_sup_h76_04_R2.fastq.gz	155107904;152378074	7693f8ae60164a449b2b40277679d4bf;f0b429001807a490f25ceafc2ea2b903	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/003/SRR3994523/SRR3994523_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/003/SRR3994523/SRR3994523_2.fastq.gz
PRJNA335821	SAMN05467983	SRS1597840	SRX1995589	SRR3994524	1403578	Illumina HiSeq 2500 sequencing; vt_sup_h76 Superior Haploid 76 Leaf	vt_sup_h76_05	vt_sup_h76_05_R2.fastq.gz	155251207;152352679	18ae573db739a9ef7b454d3e79e010a2;5236cd9f441ec63fc7c8791649a39c79	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3994524/SRR3994524_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3994524/SRR3994524_2.fastq.gz
PRJNA335821	SAMN05467955	SRS1597834	SRX1995590	SRR3994525	2787172	Illumina HiSeq 2500 sequencing; vt_sup_h5 Superior Haploid 5 Leaf	vt_sup_h5_07	vt_sup_h5_07_R1.fastq.gz	287039724;291286644	94c6829fe4d4638637d8a3b48e1e10f2;d344211ea9e9564bcc3083f20f42e3a4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3994525/SRR3994525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3994525/SRR3994525_2.fastq.gz
PRJNA335821	SAMN05467983	SRS1597840	SRX1995591	SRR3994526	1374882	Illumina HiSeq 2500 sequencing; vt_sup_h76 Superior Haploid 76 Leaf	vt_sup_h76_06	vt_sup_h76_06_R2.fastq.gz	151950341;149060525	431524764f9c066189a1122434c723ce;0b4fdab060e9e5b42ac1b285ad20fa89	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3994526/SRR3994526_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3994526/SRR3994526_2.fastq.gz
PRJNA335821	SAMN05467983	SRS1597840	SRX1995592	SRR3994527	3038668	Illumina HiSeq 2500 sequencing; vt_sup_h76 Superior Haploid 76 Leaf	vt_sup_h76_07	vt_sup_h76_07_R2.fastq.gz	314540033;311732318	c5e8fef1bbac5feaf05108bc868c3e0d;c6dbeb96b468c86b191a101ea9936905	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3994527/SRR3994527_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3994527/SRR3994527_2.fastq.gz
PRJNA335821	SAMN05467983	SRS1597840	SRX1995593	SRR3994528	3033072	Illumina HiSeq 2500 sequencing; vt_sup_h76 Superior Haploid 76 Leaf	vt_sup_h76_08	vt_sup_h76_08_R2.fastq.gz	313357552;309686076	08824f9bf958528f718b0c480b382507;0cefebde1ce49d64060ab9d885b4b17b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3994528/SRR3994528_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3994528/SRR3994528_2.fastq.gz
PRJNA335821	SAMN05467983	SRS1597840	SRX1995594	SRR3994529	3036427	Illumina HiSeq 2500 sequencing; vt_sup_h76 Superior Haploid 76 Leaf	vt_sup_h76_09	vt_sup_h76_09_R1.fastq.gz	311799295;315425732	e834815eed7e15e4770dab0665197ad9;d2c1f35afb7c1fce180099413cc8e5bd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3994529/SRR3994529_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3994529/SRR3994529_2.fastq.gz
PRJNA335821	SAMN05467983	SRS1597840	SRX1995595	SRR3994530	3015745	Illumina HiSeq 2500 sequencing; vt_sup_h76 Superior Haploid 76 Leaf	vt_sup_h76_10	vt_sup_h76_10_R1.fastq.gz	308218733;312131467	75df9eb20aa98437b27225dfc23e2f08;40d8a9c21868da756aff40a1f3060b49	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3994530/SRR3994530_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3994530/SRR3994530_2.fastq.gz
PRJNA335821	SAMN05467983	SRS1597840	SRX1995596	SRR3994531	2986060	Illumina HiSeq 2500 sequencing; vt_sup_h76 Superior Haploid 76 Leaf	vt_sup_h76_11	vt_sup_h76_11_R1.fastq.gz	305085937;308876441	5d9ef2bfc0233aa5028bf5e14f42df2d;051236c14e0522216e49996ae2ea1287	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3994531/SRR3994531_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3994531/SRR3994531_2.fastq.gz
PRJNA335821	SAMN05467983	SRS1597840	SRX1995597	SRR3994532	3003817	Illumina HiSeq 2500 sequencing; vt_sup_h76 Superior Haploid 76 Leaf	vt_sup_h76_12	vt_sup_h76_12_R2.fastq.gz	310258966;305092705	df40831faaadd0c366776d69ede05559;471de31ec044cfa3772cb01cc7b89be0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3994532/SRR3994532_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3994532/SRR3994532_2.fastq.gz
PRJNA335821	SAMN05467984	SRS1597841	SRX1995598	SRR3994533	1239182	Illumina HiSeq 2500 sequencing; vt_sup_h77 Superior Haploid 77 Leaf	vt_sup_h77_01	vt_sup_h77_01_R1.fastq.gz	143012230;133297856	12d8ec3ae823e0716a91f03da5e5414b;15079f9129214bc21c6ee934dcd821a1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/003/SRR3994533/SRR3994533_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/003/SRR3994533/SRR3994533_2.fastq.gz
PRJNA335821	SAMN05467984	SRS1597841	SRX1995599	SRR3994534	1637313	Illumina HiSeq 2500 sequencing; vt_sup_h77 Superior Haploid 77 Leaf	vt_sup_h77_02	vt_sup_h77_02_R2.fastq.gz	183900417;177077683	80eeef08ddafefa803aa23443483b5cc;c128934cc7b4c029c537090b7fa44187	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3994534/SRR3994534_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3994534/SRR3994534_2.fastq.gz
PRJNA335821	SAMN05467984	SRS1597841	SRX1995600	SRR3994535	1654517	Illumina HiSeq 2500 sequencing; vt_sup_h77 Superior Haploid 77 Leaf	vt_sup_h77_03	vt_sup_h77_03_R1.fastq.gz	180453315;184907114	4a9402f02edb670c5eb887fd9079dded;2ee140473fbb2028fe7694cbbfb52b2c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3994535/SRR3994535_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3994535/SRR3994535_2.fastq.gz
PRJNA335821	SAMN05467955	SRS1597834	SRX1995601	SRR3994536	2780603	Illumina HiSeq 2500 sequencing; vt_sup_h5 Superior Haploid 5 Leaf	vt_sup_h5_08	vt_sup_h5_08_R2.fastq.gz	289758218;284596900	f73fb8972a1e299b65ff45712aab3ba5;20cbafdc8318277d4310a595f7b8957a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3994536/SRR3994536_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3994536/SRR3994536_2.fastq.gz
PRJNA335821	SAMN05467984	SRS1597841	SRX1995602	SRR3994537	1670825	Illumina HiSeq 2500 sequencing; vt_sup_h77 Superior Haploid 77 Leaf	vt_sup_h77_04	vt_sup_h77_04_R2.fastq.gz	186896565;181763728	1c23b692f8c09b5fbb7b8ff29621c55b;05107d46c8a11998dab46739ecbe4f92	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3994537/SRR3994537_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3994537/SRR3994537_2.fastq.gz
PRJNA335821	SAMN05467984	SRS1597841	SRX1995603	SRR3994538	1676163	Illumina HiSeq 2500 sequencing; vt_sup_h77 Superior Haploid 77 Leaf	vt_sup_h77_05	vt_sup_h77_05_R2.fastq.gz	187990446;182670590	4a1156dab42e7bebffe668265ac17a58;c5bb31e10e5227052e87970f42fbf44c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3994538/SRR3994538_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3994538/SRR3994538_2.fastq.gz
PRJNA335821	SAMN05467984	SRS1597841	SRX1995604	SRR3994539	1641128	Illumina HiSeq 2500 sequencing; vt_sup_h77 Superior Haploid 77 Leaf	vt_sup_h77_06	vt_sup_h77_06_R2.fastq.gz	184007177;178627935	140ed01f4f3902ccf0c8497a09656cb3;a4dd0bc664206fa581435d3062f0bf00	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3994539/SRR3994539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3994539/SRR3994539_2.fastq.gz
PRJNA335821	SAMN05467984	SRS1597841	SRX1995605	SRR3994540	3579894	Illumina HiSeq 2500 sequencing; vt_sup_h77 Superior Haploid 77 Leaf	vt_sup_h77_07	vt_sup_h77_07_R2.fastq.gz	377524727;372525648	645eb0d5680e09bb98f2fe38ed33a2d4;1ece8e0741e20e0f091ac89bc3e817d7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3994540/SRR3994540_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3994540/SRR3994540_2.fastq.gz
PRJNA335821	SAMN05467984	SRS1597841	SRX1995606	SRR3994541	3571676	Illumina HiSeq 2500 sequencing; vt_sup_h77 Superior Haploid 77 Leaf	vt_sup_h77_08	vt_sup_h77_08_R1.fastq.gz	369802127;375953919	3a217b3f424038b25d5d38585ef76878;3a538e42678db5bd400a858bdc77187f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3994541/SRR3994541_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3994541/SRR3994541_2.fastq.gz
PRJNA335821	SAMN05467984	SRS1597841	SRX1995607	SRR3994542	3580122	Illumina HiSeq 2500 sequencing; vt_sup_h77 Superior Haploid 77 Leaf	vt_sup_h77_09	vt_sup_h77_09_R1.fastq.gz	372736609;378983557	3bff7914121e56136db39a73534fd178;093793df99349a03a9b6464ec51c7655	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3994542/SRR3994542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3994542/SRR3994542_2.fastq.gz
PRJNA335821	SAMN05467984	SRS1597841	SRX1995608	SRR3994543	3561209	Illumina HiSeq 2500 sequencing; vt_sup_h77 Superior Haploid 77 Leaf	vt_sup_h77_10	vt_sup_h77_10_R2.fastq.gz	375581270;369081542	f46b681c9a45d91b554f6bc4f0922f35;79b2298a8de855d745e341e9de5d4390	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/003/SRR3994543/SRR3994543_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/003/SRR3994543/SRR3994543_2.fastq.gz
PRJNA335821	SAMN05467984	SRS1597841	SRX1995609	SRR3994544	3531358	Illumina HiSeq 2500 sequencing; vt_sup_h77 Superior Haploid 77 Leaf	vt_sup_h77_11	vt_sup_h77_11_R2.fastq.gz	371976547;365725054	ee40bdfdf550d3b10b8d90470014f5b7;b4e28964f99021f6ee3e62d1be47f266	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3994544/SRR3994544_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3994544/SRR3994544_2.fastq.gz
PRJNA335821	SAMN05467984	SRS1597841	SRX1995610	SRR3994545	3542957	Illumina HiSeq 2500 sequencing; vt_sup_h77 Superior Haploid 77 Leaf	vt_sup_h77_12	vt_sup_h77_12_R2.fastq.gz	372365276;364658847	73e76a167d4967e06cf9536167d86a71;d3fc270d44d9a861150f31b98c4f2bbb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3994545/SRR3994545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3994545/SRR3994545_2.fastq.gz
PRJNA335821	SAMN05467985	SRS1597842	SRX1995611	SRR3994546	1192789	Illumina HiSeq 2500 sequencing; vt_sup_h78 Superior Haploid 78 Leaf	vt_sup_h78_01	vt_sup_h78_01_R1.fastq.gz	135981067;126811815	9eb4f1acc32e9868e661c7ede841852f;ad35e6ec4cdd8fab00d2984a5127bcd7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3994546/SRR3994546_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3994546/SRR3994546_2.fastq.gz
PRJNA335821	SAMN05467955	SRS1597834	SRX1995612	SRR3994547	2784675	Illumina HiSeq 2500 sequencing; vt_sup_h5 Superior Haploid 5 Leaf	vt_sup_h5_09	vt_sup_h5_09_R1.fastq.gz	286862652;292094139	8bdbdc7822a1ed9b52d88890befa737e;2873b67ba54d2177ce4a4ec7ab2b7c70	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3994547/SRR3994547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3994547/SRR3994547_2.fastq.gz
PRJNA335821	SAMN05467985	SRS1597842	SRX1995613	SRR3994548	1557464	Illumina HiSeq 2500 sequencing; vt_sup_h78 Superior Haploid 78 Leaf	vt_sup_h78_02	vt_sup_h78_02_R1.fastq.gz	167347953;173596725	c6fb9ea1653802a345ad58cc669ff381;a0cfa2982599635dff7843a35252007f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3994548/SRR3994548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3994548/SRR3994548_2.fastq.gz
PRJNA335821	SAMN05467985	SRS1597842	SRX1995614	SRR3994549	1553368	Illumina HiSeq 2500 sequencing; vt_sup_h78 Superior Haploid 78 Leaf	vt_sup_h78_03	vt_sup_h78_03_R1.fastq.gz	168391208;172253312	fb5a72cdd008d3d05ea776935f42af9e;09d64509e4cc82f80268d15a4cd18b08	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3994549/SRR3994549_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3994549/SRR3994549_2.fastq.gz
PRJNA335821	SAMN05467985	SRS1597842	SRX1995615	SRR3994550	1564707	Illumina HiSeq 2500 sequencing; vt_sup_h78 Superior Haploid 78 Leaf	vt_sup_h78_04	vt_sup_h78_04_R1.fastq.gz	169196078;173699326	d7310201144b4e95a5d25579543e6d3d;2287422668d9f483d207f469db1b1c9d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3994550/SRR3994550_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3994550/SRR3994550_2.fastq.gz
PRJNA335821	SAMN05467985	SRS1597842	SRX1995616	SRR3994551	1581088	Illumina HiSeq 2500 sequencing; vt_sup_h78 Superior Haploid 78 Leaf	vt_sup_h78_05	vt_sup_h78_05_R1.fastq.gz	171126232;175752992	40f996b02bddf7ddda34ca4af611df37;49e85a73e44481cb1bbccc933d0e1b38	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3994551/SRR3994551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3994551/SRR3994551_2.fastq.gz
PRJNA335821	SAMN05467985	SRS1597842	SRX1995617	SRR3994552	1551250	Illumina HiSeq 2500 sequencing; vt_sup_h78 Superior Haploid 78 Leaf	vt_sup_h78_06	vt_sup_h78_06_R1.fastq.gz	167621755;172331804	279e4109888dcd2dd4ab5631f35962e3;40483ae57c37aa7098a8a3ccd2b9cd9e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3994552/SRR3994552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3994552/SRR3994552_2.fastq.gz
